date,frequency,keyword
2014-01-05,0,Shadyside
2014-01-06,0,Shadyside
2014-01-07,0,Shadyside
2014-01-08,0,Shadyside
2014-01-09,2,Shadyside
2014-01-10,0,Shadyside
2014-01-11,0,Shadyside
2014-01-12,0,Shadyside
2014-01-13,0,Shadyside
2014-01-14,0,Shadyside
2014-01-15,0,Shadyside
2014-01-16,0,Shadyside
2014-01-17,1,Shadyside
2014-01-18,0,Shadyside
2014-01-19,0,Shadyside
2014-01-20,0,Shadyside
2014-01-21,0,Shadyside
2014-01-22,0,Shadyside
2014-01-23,0,Shadyside
2014-01-24,0,Shadyside
2014-01-25,2,Shadyside
2014-01-26,1,Shadyside
2014-01-27,0,Shadyside
2014-01-28,0,Shadyside
2014-01-29,0,Shadyside
2014-01-30,0,Shadyside
2014-01-31,0,Shadyside
2014-01-01,0,Market
2014-01-02,0,Market
2014-01-03,0,Market
2014-01-04,1,Market
2014-01-05,0,Market
2014-01-06,1,Market
2014-01-07,0,Market
2014-01-08,0,Market
2014-01-09,0,Market
2014-01-10,0,Market
2014-01-11,0,Market
2014-01-12,0,Market
2014-01-13,0,Market
2014-01-14,2,Market
2014-01-15,0,Market
2014-01-16,0,Market
2014-01-17,0,Market
2014-01-18,0,Market
2014-01-19,0,Market
2014-01-20,1,Market
2014-01-21,0,Market
2014-01-22,1,Market
2014-01-23,0,Market
2014-01-24,1,Market
2014-01-25,0,Market
2014-01-26,1,Market
2014-01-27,1,Market
2014-01-28,0,Market
2014-01-29,0,Market
2014-01-30,0,Market
2014-01-31,0,Market
2014-01-01,0,Burger
2014-01-02,1,Burger
2014-01-03,0,Burger
2014-01-04,1,Burger
2014-01-05,0,Burger
2014-01-06,0,Burger
2014-01-07,0,Burger
2014-01-08,0,Burger
2014-01-09,0,Burger
2014-01-10,0,Burger
2014-01-11,2,Burger
2014-01-12,0,Burger
2014-01-13,0,Burger
2014-01-14,0,Burger
2014-01-15,0,Burger
2014-01-16,0,Burger
2014-01-17,0,Burger
2014-01-18,0,Burger
2014-01-19,0,Burger
2014-01-20,0,Burger
2014-01-21,0,Burger
2014-01-22,0,Burger
2014-01-23,0,Burger
2014-01-24,0,Burger
2014-01-25,1,Burger
2014-01-26,0,Burger
2014-01-27,0,Burger
2014-01-28,1,Burger
2014-01-29,1,Burger
2014-01-30,0,Burger
2014-01-31,0,Burger
2014-01-01,0,BBQ
2014-01-02,0,BBQ
2014-01-03,0,BBQ
2014-01-04,0,BBQ
2014-01-05,0,BBQ
2014-01-06,0,BBQ
2014-01-07,0,BBQ
2014-01-08,2,BBQ
2014-01-09,2,BBQ
2014-01-10,0,BBQ
2014-01-11,0,BBQ
2014-01-12,1,BBQ
2014-01-13,1,BBQ
2014-01-14,0,BBQ
2014-01-15,0,BBQ
2014-01-16,1,BBQ
2014-01-17,1,BBQ
2014-01-18,0,BBQ
2014-01-19,0,BBQ
2014-01-20,1,BBQ
2014-01-21,0,BBQ
2014-01-22,1,BBQ
2014-01-23,0,BBQ
2014-01-24,0,BBQ
2014-01-25,0,BBQ
2014-01-26,1,BBQ
2014-01-27,0,BBQ
2014-01-28,0,BBQ
2014-01-29,0,BBQ
2014-01-30,0,BBQ
2014-01-31,0,BBQ
2014-01-01,0,Penn
2014-01-02,0,Penn
2014-01-03,0,Penn
2014-01-04,2,Penn
2014-01-05,0,Penn
2014-01-06,0,Penn
2014-01-07,0,Penn
2014-01-08,0,Penn
2014-01-09,0,Penn
2014-01-10,0,Penn
2014-01-11,1,Penn
2014-01-12,0,Penn
2014-01-13,0,Penn
2014-01-14,0,Penn
2014-01-15,0,Penn
2014-01-16,0,Penn
2014-01-17,0,Penn
2014-01-18,2,Penn
2014-01-19,0,Penn
2014-01-20,1,Penn
2014-01-21,1,Penn
2014-01-22,0,Penn
2014-01-23,0,Penn
2014-01-24,0,Penn
2014-01-25,1,Penn
2014-01-26,1,Penn
2014-01-27,1,Penn
2014-01-28,1,Penn
2014-01-29,0,Penn
2014-01-30,1,Penn
2014-01-31,0,Penn
2014-01-01,2,Strip
2014-01-02,0,Strip
2014-01-03,0,Strip
2014-01-04,0,Strip
2014-01-05,0,Strip
2014-01-06,0,Strip
2014-01-07,0,Strip
2014-01-08,0,Strip
2014-01-09,0,Strip
2014-01-10,0,Strip
2014-01-11,0,Strip
2014-01-12,0,Strip
2014-01-13,0,Strip
2014-01-14,0,Strip
2014-01-15,2,Strip
2014-01-16,0,Strip
2014-01-17,1,Strip
2014-01-18,2,Strip
2014-01-19,0,Strip
2014-01-20,0,Strip
2014-01-21,0,Strip
2014-01-22,0,Strip
2014-01-23,0,Strip
2014-01-24,0,Strip
2014-01-25,0,Strip
2014-01-26,1,Strip
2014-01-27,1,Strip
2014-01-28,0,Strip
2014-01-29,0,Strip
2014-01-30,1,Strip
2014-01-31,0,Strip
2014-01-01,1,Grill
2014-01-02,0,Grill
2014-01-03,2,Grill
2014-01-04,0,Grill
2014-01-05,0,Grill
2014-01-06,1,Grill
2014-01-07,0,Grill
2014-01-08,1,Grill
2014-01-09,0,Grill
2014-01-10,0,Grill
2014-01-11,0,Grill
2014-01-12,0,Grill
2014-01-13,1,Grill
2014-01-14,0,Grill
2014-01-15,0,Grill
2014-01-16,0,Grill
2014-01-17,0,Grill
2014-01-18,0,Grill
2014-01-19,1,Grill
2014-01-20,0,Grill
2014-01-21,1,Grill
2014-01-22,0,Grill
2014-01-23,0,Grill
2014-01-24,0,Grill
2014-01-25,0,Grill
2014-01-26,0,Grill
2014-01-27,1,Grill
2014-01-28,0,Grill
2014-01-29,0,Grill
2014-01-30,0,Grill
2014-01-31,0,Grill
2014-01-01,0,Thursday
2014-01-02,0,Thursday
2014-01-03,0,Thursday
2014-01-04,0,Thursday
2014-01-05,0,Thursday
2014-01-06,0,Thursday
2014-01-07,0,Thursday
2014-01-08,2,Thursday
2014-01-09,0,Thursday
2014-01-10,1,Thursday
2014-01-11,0,Thursday
2014-01-12,0,Thursday
2014-01-13,0,Thursday
2014-01-14,0,Thursday
2014-01-15,0,Thursday
2014-01-16,1,Thursday
2014-01-17,0,Thursday
2014-01-18,0,Thursday
2014-01-19,0,Thursday
2014-01-20,0,Thursday
2014-01-21,0,Thursday
2014-01-22,0,Thursday
2014-01-23,0,Thursday
2014-01-24,0,Thursday
2014-01-25,0,Thursday
2014-01-26,0,Thursday
2014-01-27,0,Thursday
2014-01-28,0,Thursday
2014-01-29,0,Thursday
2014-01-30,2,Thursday
2014-01-31,1,Thursday
2014-01-01,0,Burgatory
2014-01-02,0,Burgatory
2014-01-03,1,Burgatory
2014-01-04,0,Burgatory
2014-01-05,0,Burgatory
2014-01-06,0,Burgatory
2014-01-07,0,Burgatory
2014-01-08,0,Burgatory
2014-01-09,0,Burgatory
2014-01-10,1,Burgatory
2014-01-11,0,Burgatory
2014-01-12,0,Burgatory
2014-01-13,0,Burgatory
2014-01-14,0,Burgatory
2014-01-15,0,Burgatory
2014-01-16,0,Burgatory
2014-01-17,1,Burgatory
2014-01-18,1,Burgatory
2014-01-19,1,Burgatory
2014-01-20,0,Burgatory
2014-01-21,0,Burgatory
2014-01-22,0,Burgatory
2014-01-23,0,Burgatory
2014-01-24,0,Burgatory
2014-01-25,0,Burgatory
2014-01-26,0,Burgatory
2014-01-27,0,Burgatory
2014-01-28,0,Burgatory
2014-01-29,0,Burgatory
2014-01-30,1,Burgatory
2014-01-31,0,Burgatory
2014-01-01,0,Street
2014-01-02,0,Street
2014-01-03,0,Street
2014-01-04,0,Street
2014-01-05,0,Street
2014-01-06,1,Street
2014-01-07,1,Street
2014-01-08,0,Street
2014-01-09,1,Street
2014-01-10,0,Street
2014-01-11,1,Street
2014-01-12,0,Street
2014-01-13,1,Street
2014-01-14,0,Street
2014-01-15,0,Street
2014-01-16,0,Street
2014-01-17,0,Street
2014-01-18,0,Street
2014-01-19,0,Street
2014-01-20,1,Street
2014-01-21,1,Street
2014-01-22,0,Street
2014-01-23,0,Street
2014-01-24,0,Street
2014-01-25,0,Street
2014-01-26,0,Street
2014-01-27,0,Street
2014-01-28,0,Street
2014-01-29,0,Street
2014-01-30,0,Street
2014-01-31,0,Street
2014-01-01,2,Highly
2014-01-02,0,Highly
2014-01-03,0,Highly
2014-01-04,0,Highly
2014-01-05,0,Highly
2014-01-06,0,Highly
2014-01-07,0,Highly
2014-01-08,0,Highly
2014-01-09,0,Highly
2014-01-10,1,Highly
2014-01-11,0,Highly
2014-01-12,1,Highly
2014-01-13,0,Highly
2014-01-14,0,Highly
2014-01-15,1,Highly
2014-01-16,0,Highly
2014-01-17,1,Highly
2014-01-18,0,Highly
2014-01-19,0,Highly
2014-01-20,1,Highly
2014-01-21,0,Highly
2014-01-22,2,Highly
2014-01-23,0,Highly
2014-01-24,0,Highly
2014-01-25,0,Highly
2014-01-26,0,Highly
2014-01-27,0,Highly
2014-01-28,0,Highly
2014-01-29,1,Highly
2014-01-30,0,Highly
2014-01-31,0,Highly
2014-01-01,0,Pork
2014-01-02,0,Pork
2014-01-03,0,Pork
2014-01-04,1,Pork
2014-01-05,0,Pork
2014-01-06,0,Pork
2014-01-07,1,Pork
2014-01-08,0,Pork
2014-01-09,0,Pork
2014-01-10,1,Pork
2014-01-11,0,Pork
2014-01-12,1,Pork
2014-01-13,1,Pork
2014-01-14,1,Pork
2014-01-15,0,Pork
2014-01-16,0,Pork
2014-01-17,0,Pork
2014-01-18,0,Pork
2014-01-19,0,Pork
2014-01-20,1,Pork
2014-01-21,0,Pork
2014-01-22,0,Pork
2014-01-23,1,Pork
2014-01-24,0,Pork
2014-01-25,0,Pork
2014-01-26,0,Pork
2014-01-27,0,Pork
2014-01-28,1,Pork
2014-01-29,0,Pork
2014-01-30,0,Pork
2014-01-31,0,Pork
2014-01-01,1,Hill
2014-01-02,1,Hill
2014-01-03,0,Hill
2014-01-04,0,Hill
2014-01-05,0,Hill
2014-01-06,0,Hill
2014-01-07,0,Hill
2014-01-08,0,Hill
2014-01-09,1,Hill
2014-01-10,0,Hill
2014-01-11,0,Hill
2014-01-12,0,Hill
2014-01-13,1,Hill
2014-01-14,0,Hill
2014-01-15,0,Hill
2014-01-16,0,Hill
2014-01-17,0,Hill
2014-01-18,0,Hill
2014-01-19,0,Hill
2014-01-20,0,Hill
2014-01-21,3,Hill
2014-01-22,0,Hill
2014-01-23,0,Hill
